date,open,high,low,close,volume,p_change,v_change
2012-03-14,1395.949951,1399.420044,1389.969971,1394.280029,4502280000,-0.001196262,0.02640164
2012-03-15,1394.170044,1402.630005,1392.780029,1402.599976,4271650000,0.005967199,-0.051225157
2012-03-16,1402.550049,1405.880005,1401.469971,1404.170044,5163950000,0.001119398,0.208888837
2012-03-19,1404.170044,1414,1402.430054,1409.75,3932570000,0.003973846,-0.238456995
2012-03-20,1409.589966,1409.589966,1397.680054,1405.52002,3695280000,-0.003000518,-0.060339676
2012-03-21,1405.52002,1407.75,1400.640015,1402.890015,3573590000,-0.001871197,-0.032931199
2012-03-22,1402.890015,1402.890015,1388.72998,1392.780029,3740590000,-0.007206542,0.046731718
2012-03-23,1392.780029,1399.180054,1386.869995,1397.109985,3472950000,0.003108858,-0.07155021
2012-03-26,1397.109985,1416.579956,1397.109985,1416.51001,3576950000,0.013885825,0.029945723
2012-03-27,1416.550049,1419.150024,1411.949951,1412.52002,3513640000,-0.002816775,-0.017699437
2012-03-28,1412.52002,1413.650024,1397.199951,1405.540039,3892800000,-0.004941509,0.107910884
2012-03-29,1405.390015,1405.390015,1391.560059,1403.280029,3832000000,-0.00160793,-0.015618578
2012-03-30,1403.310059,1410.890015,1401.420044,1408.469971,3676890000,0.003698436,-0.040477557
2012-04-02,1408.469971,1422.380005,1404.459961,1419.040039,3572010000,0.007504646,-0.028524106
2012-04-03,1418.97998,1419,1404.619995,1413.380005,3822090000,-0.003988636,0.070011002
2012-04-04,1413.089966,1413.089966,1394.089966,1398.959961,3938290000,-0.010202524,0.030402214
2012-04-05,1398.790039,1401.599976,1392.920044,1398.079956,3303740000,-0.000629042,-0.161123229
2012-04-09,1397.449951,1397.449951,1378.23999,1382.199951,3468980000,-0.011358438,0.050016042
2012-04-10,1382.180054,1383.01001,1357.380005,1358.589966,4631730000,-0.017081454,0.335184982
2012-04-11,1358.97998,1374.709961,1358.97998,1368.709961,3743040000,0.007448896,-0.191869992
2012-04-12,1368.77002,1388.130005,1368.77002,1387.569946,3618280000,0.013779388,-0.033331196
2012-04-13,1387.609985,1387.609985,1369.849976,1370.26001,3631160000,-0.012475001,0.003559702
2012-04-16,1370.27002,1379.660034,1365.380005,1369.569946,3574780000,-0.000503601,-0.015526719
2012-04-17,1369.569946,1392.76001,1369.569946,1390.780029,3456200000,0.015486674,-0.033171272
2012-04-18,1390.780029,1390.780029,1383.290039,1385.140015,3463140000,-0.004055288,0.002007986
2012-04-19,1385.079956,1390.459961,1370.300049,1376.920044,4180020000,-0.005934397,0.207002893
2012-04-20,1376.959961,1387.400024,1376.959961,1378.530029,3833320000,0.001169265,-0.082942187
2012-04-23,1378.530029,1378.530029,1358.790039,1366.939941,3654860000,-0.00840757,-0.046554945
2012-04-24,1366.969971,1375.569946,1366.819946,1371.969971,3617100000,0.003679774,-0.010331449
2012-04-25,1372.109985,1391.369995,1372.109985,1390.689941,3998430000,0.013644592,0.105424235
2012-04-26,1390.640015,1402.089966,1387.280029,1399.97998,4034700000,0.006680166,0.00907106
2012-04-27,1400.189941,1406.640015,1397.310059,1403.359985,3645830000,0.002414324,-0.096381391
2012-04-30,1403.26001,1403.26001,1394,1397.910034,3574010000,-0.003883502,-0.019699218
2012-05-01,1397.859985,1415.319946,1395.72998,1405.819946,3807950000,0.005658384,0.065455888
2012-05-02,1405.5,1405.5,1393.920044,1402.310059,3803860000,-0.002496683,-0.001074069
2012-05-03,1402.319946,1403.069946,1388.709961,1391.569946,4004910000,-0.007658872,0.052854206
2012-05-04,1391.51001,1391.51001,1367.959961,1369.099976,3975140000,-0.016147208,-0.007433376
2012-05-07,1368.790039,1373.910034,1363.939941,1369.579956,3559390000,0.000350581,-0.104587511
2012-05-08,1369.160034,1369.160034,1347.75,1363.719971,4261670000,-0.004278673,0.197303471
2012-05-09,1363.199951,1363.72998,1343.130005,1354.579956,4288540000,-0.006702267,0.00630504
2012-05-10,1354.579956,1365.880005,1354.579956,1357.98999,3727990000,0.002517411,-0.130708819
2012-05-11,1358.109985,1365.660034,1348.890015,1353.390015,3869070000,-0.003387341,0.037843449
2012-05-14,1351.930054,1351.930054,1336.609985,1338.349976,3688120000,-0.011112864,-0.046768345
2012-05-15,1338.359985,1344.939941,1328.410034,1330.660034,4114040000,-0.005745838,0.115484312
2012-05-16,1330.780029,1341.780029,1324.790039,1324.800049,4280420000,-0.004403818,0.040441999
2012-05-17,1324.819946,1326.359985,1304.859985,1304.859985,4664280000,-0.015051376,0.089678116
2012-05-18,1305.050049,1312.23999,1291.97998,1295.219971,4512470000,-0.007387777,-0.03254736
2012-05-21,1295.72998,1316.390015,1295.72998,1315.98999,3786750000,0.016035901,-0.160825446
2012-05-22,1316.089966,1328.48999,1310.040039,1316.630005,4123680000,0.000486337,0.088976035
2012-05-23,1316.02002,1320.709961,1296.530029,1318.859985,4108330000,0.001693703,-0.003722403
2012-05-24,1318.719971,1324.140015,1310.5,1320.680054,3937670000,0.001380032,-0.041539993
2012-05-25,1320.810059,1324.199951,1314.22998,1317.819946,2872660000,-0.002165633,-0.270467053
2012-05-29,1318.900024,1334.930054,1318.900024,1332.420044,3441640000,0.011078978,0.198067297
2012-05-30,1331.25,1331.25,1310.76001,1313.319946,3534290000,-0.014334892,0.026920305
2012-05-31,1313.089966,1319.73999,1298.900024,1310.329956,4557620000,-0.002276665,0.289543303
2012-06-01,1309.869995,1309.869995,1277.25,1278.040039,4669350000,-0.024642585,0.024514988
2012-06-04,1278.290039,1282.550049,1266.73999,1278.180054,4011960000,0.000109554,-0.140788332
2012-06-05,1277.819946,1287.619995,1274.160034,1285.5,3403230000,0.00572685,-0.151728831
2012-06-06,1285.609985,1315.130005,1285.609985,1315.130005,4268360000,0.023049401,0.254208502
2012-06-07,1316.150024,1329.050049,1312.680054,1314.98999,4258140000,-0.000106465,-0.002394362
2012-06-08,1314.98999,1325.810059,1307.77002,1325.660034,3497190000,0.008114164,-0.178704787
2012-06-11,1325.719971,1335.52002,1307.72998,1308.930054,3537530000,-0.012620113,0.011534975
2012-06-12,1309.400024,1324.310059,1306.619995,1324.180054,3442920000,0.011650737,-0.02674465
2012-06-13,1324.02002,1327.280029,1310.51001,1314.880005,3506510000,-0.007023251,0.018469787
2012-06-14,1314.880005,1333.680054,1314.140015,1329.099976,3687720000,0.010814653,0.051678164
